Time,Commitment,Opinion,Neighbors
0,2,2,13
5,2,2;2;2;2;2,13;13;13;13;13
10,1,2;2;2;2;1,13;13;13;13;13
15,2,1;1;1;1;2,13;13;13;13;13
20,1,2;2;2;2;1,13;13;13;13;12
25,1,1;1;1;1;1,12;12;12;12;12
30,1,1;1;1;1;1,12;12;12;12;12
35,2,1;1;1;1;2,12;12;12;12;12
40,1,2;2;2;2;1,12;12;12;12;12
45,2,1;1;1;1;2,12;12;12;12;12
50,2,2;2;2;2;2,12;12;12;12;12
55,1,2;2;2;2;1,12;12;12;12;12
60,1,1;1;1;1;1,12;12;12;12;12
65,1,1;1;1;1;1,12;12;12;12;12
70,1,1;1;1;1;1,12;12;12;12;12
75,1,1;1;1;1;1,12;12;12;12;12
80,2,1;1;1;1;0,13;13;13;13;13
85,2,0;2;2;2;2,13;13;13;13;13
90,2,2;2;2;2;2,13;13;13;13;13
95,2,2;2;2;2;2,13;13;13;13;13
100,2,2;2;2;2;2,12;12;12;12;12
105,1,2;2;2;2;0,12;12;12;12;12
110,2,1;1;1;1;2,12;12;12;12;12
115,2,2;2;2;2;2,12;12;12;12;12
120,2,2;2;2;2;2,12;12;12;12;12
125,1,2;2;2;2;0,12;12;12;12;12
130,2,0;1;1;1;2,12;12;13;13;13
135,1,2;2;2;2;0,13;13;13;13;13
140,2,1;1;1;1;2,13;13;13;13;13
145,2,2;2;2;2;2,13;13;13;13;13
150,2,2;2;2;2;2,13;13;13;13;13
155,2,2;2;2;2;2,13;13;13;13;13
160,2,2;2;2;2;2,13;13;13;13;13
165,2,2;2;2;2;2,13;13;13;13;13
170,2,2;2;2;2;2,13;13;13;13;13
175,2,2;2;2;2;2,13;13;13;13;13
180,2,2;2;2;2;2,13;13;13;13;13
185,2,2;2;2;2;2,12;12;12;12;12
190,2,2;2;2;2;2,12;12;12;12;12
195,2,2;2;2;2;2,12;12;12;12;12
200,2,2;2;2;2;2,12;12;12;12;12
205,2,2;2;2;2;2,12;12;12;12;12
210,2,2;2;2;2;2,12;12;12;12;12
215,2,2;2;2;2;2,12;12;12;12;12
220,2,2;2;2;2;2,12;12;12;12;12
225,1,2;2;2;2;0,12;12;12;12;12
230,1,0;0;1;1;1,12;12;12;12;12
235,2,1;1;1;1;2,12;12;12;12;12
240,2,2;2;2;2;2,12;12;12;12;13
245,2,2;2;2;2;2,13;13;13;13;13
250,2,2;2;2;2;2,13;13;13;13;13
255,2,2;2;2;2;2,13;13;13;13;13
260,2,2;2;2;2;2,13;13;13;13;13
265,2,2;2;2;2;2,13;13;13;13;13
270,2,2;2;2;2;2,13;13;13;13;13
275,2,2;2;2;2;2,13;13;13;13;13
280,2,2;2;2;2;2,13;13;13;13;13
285,2,2;2;2;2;2,13;13;13;13;13
290,2,2;2;2;2;2,13;13;13;13;13
295,2,2;2;2;2;2,13;13;13;13;13
300,2,2;2;2;2;2,13;13;13;13;13
305,2,2;2;2;2;2,13;13;13;13;13
310,2,2;2;2;2;2,13;13;13;13;13
315,2,2;2;2;2;2,13;13;13;13;13
320,2,2;2;2;2;2,13;13;13;13;13
325,1,2;2;2;2;0,13;13;13;13;13
330,1,0;0;0;1;1,13;13;13;13;13
335,2,1;1;1;1;2,13;13;13;13;13
340,2,2;2;2;2;2,13;13;13;13;13
345,2,2;2;2;2;2,13;13;13;13;13
350,2,2;2;2;2;2,13;13;13;13;13
355,2,2;2;2;2;2,13;13;13;13;13
360,1,2;2;2;2;0,13;13;13;13;13
