Time,Commitment,Opinion
0,2,1
5,1,2;2;2;2;2
10,2,1;1;1;1;1
15,1,2;2;2;2;2
20,2,1;1;1;1;1
25,1,2;2;2;2;2
30,1,1;1;1;1;1
35,1,1;1;1;1;1
40,1,1;1;1;1;1
45,2,1;1;1;1;1
50,1,0;2;2;2;2
55,2,1;1;1;1;1
60,1,0;2;2;2;2
65,2,1;1;1;1;1
70,1,0;2;2;2;2
75,2,1;1;1;1;1
80,2,0;2;2;2;2
85,1,2;2;2;2;2
90,2,1;1;1;1;1
95,2,2;2;2;2;2
100,2,2;2;2;2;2
105,1,2;2;2;2;2
110,1,0;0;1;1;1
115,2,1;1;1;1;1
120,1,2;2;2;2;2
125,1,1;1;1;1;1
130,1,1;1;1;1;1
135,1,1;1;1;1;1
140,2,1;1;1;1;1
145,2,0;0;2;2;2
150,1,2;2;2;2;2
155,2,1;1;1;1;1
160,2,2;2;2;2;2
165,2,2;2;2;2;2
170,1,2;2;2;2;2
175,2,0;0;1;1;1
180,2,2;2;2;2;2
185,1,2;2;2;2;2
190,2,0;0;1;1;1
195,1,2;2;2;2;2
200,1,0;1;1;1;1
205,1,1;1;1;1;1
210,1,1;1;1;1;1
215,1,1;1;1;1;1
220,1,1;1;1;1;1
225,1,1;1;1;1;1
230,1,1;1;1;1;1
235,1,1;1;1;1;1
240,1,1;1;1;1;1
245,1,1;1;1;1;1
250,2,1;1;1;1;1
255,1,0;0;0;2;2
260,2,1;1;1;1;1
265,1,0;0;2;2;2
270,2,1;1;1;1;1
275,1,0;0;2;2;2
280,2,1;1;1;1;1
285,1,0;0;2;2;2
290,1,1;1;1;1;1
295,2,1;1;1;1;1
300,2,0;0;0;2;2
305,2,2;2;2;2;2
310,1,2;2;2;2;2
315,2,0;0;1;1;1
320,1,2;2;2;2;2
325,1,0;0;1;1;1
330,2,1;1;1;1;1
335,1,2;2;2;2;2
340,1,1;1;1;1;1
345,1,1;1;1;1;1
350,1,1;1;1;1;1
355,2,1;1;1;1;1
360,1,0;0;0;2;2
365,1,1;1;1;1;1
370,2,1;1;1;1;1
375,1,0;0;0;2;2
380,1,1;1;1;1;1
385,2,1;1;1;1;1
390,1,0;0;0;2;2
395,1,1;1;1;1;1
400,1,1;1;1;1;1
405,1,1;1;1;1;1
410,1,1;1;1;1;1
415,1,1;1;1;1;1
420,1,1;1;1;1;1
425,2,1;1;1;1;1
430,2,0;0;0;0;2
435,2,2;2;2;2;2
440,1,2;2;2;2;2
445,2,0;0;1;1;1
450,2,2;2;2;2;2
455,1,2;2;2;2;2
460,2,0;0;0;0;1
465,2,2;2;2;2;2
470,2,2;2;2;2;2
475,2,2;2;2;2;2
480,2,2;2;2;2;2
485,2,2;2;2;2;2
490,2,2;2;2;2;2
495,2,2;2;2;2;2
500,2,2;2;2;2;2
505,2,2;2;2;2;2
510,2,2;2;2;2;2
515,2,2;2;2;2;2
520,2,2;2;2;2;2
525,2,2;2;2;2;2
530,2,2;2;2;2;2
535,2,2;2;2;2;2
